State,District,Year,Quarter,RegisteredUsers,S.no,Appopens
andaman-&-nicobar-islands,"north and middle andaman district",2018,1,632,1,0
andaman-&-nicobar-islands,"south andaman district",2018,1,5846,2,0
andaman-&-nicobar-islands,"nicobars district",2018,1,262,3,0
andaman-&-nicobar-islands,"north and middle andaman district",2018,2,911,4,0
andaman-&-nicobar-islands,"south andaman district",2018,2,8143,5,0
andaman-&-nicobar-islands,"nicobars district",2018,2,351,6,0
andaman-&-nicobar-islands,"north and middle andaman district",2018,3,1208,7,0
andaman-&-nicobar-islands,"south andaman district",2018,3,10474,8,0
andaman-&-nicobar-islands,"nicobars district",2018,3,467,9,0
andaman-&-nicobar-islands,"north and middle andaman district",2018,4,1553,10,0
andaman-&-nicobar-islands,"south andaman district",2018,4,13133,11,0
andaman-&-nicobar-islands,"nicobars district",2018,4,536,12,0
andaman-&-nicobar-islands,"north and middle andaman district",2019,1,2013,13,0
andaman-&-nicobar-islands,"south andaman district",2019,1,15961,14,0
andaman-&-nicobar-islands,"nicobars district",2019,1,622,15,0
andaman-&-nicobar-islands,"north and middle andaman district",2019,2,2417,16,6118
andaman-&-nicobar-islands,"south andaman district",2019,2,18621,17,43569
andaman-&-nicobar-islands,"nicobars district",2019,2,693,18,2953
andaman-&-nicobar-islands,"north and middle andaman district",2019,3,2662,19,22064
andaman-&-nicobar-islands,"south andaman district",2019,3,20518,20,138190
andaman-&-nicobar-islands,"nicobars district",2019,3,751,21,10853
andaman-&-nicobar-islands,"north and middle andaman district",2019,4,2955,22,26253
andaman-&-nicobar-islands,"south andaman district",2019,4,22202,23,139646
andaman-&-nicobar-islands,"nicobars district",2019,4,803,24,11113
andaman-&-nicobar-islands,"north and middle andaman district",2020,1,3315,25,30444
andaman-&-nicobar-islands,"south andaman district",2020,1,24174,26,151529
andaman-&-nicobar-islands,"nicobars district",2020,1,879,27,11613
andaman-&-nicobar-islands,"north and middle andaman district",2020,2,4100,28,56992
andaman-&-nicobar-islands,"south andaman district",2020,2,27626,29,231071
andaman-&-nicobar-islands,"nicobars district",2020,2,984,30,17009
andaman-&-nicobar-islands,"north and middle andaman district",2020,3,5355,31,76553
andaman-&-nicobar-islands,"south andaman district",2020,3,34833,32,417785
andaman-&-nicobar-islands,"nicobars district",2020,3,1147,33,21227
