Day,Month,Year,Store,Dept,Type,IsHoliday,MarkDown2,CPI
3,5,2013,1,1,1,0,2.0,
3,5,2013,1,2,1,0,2.0,
3,5,2013,1,3,1,0,2.0,
3,5,2013,1,4,1,0,2.0,
3,5,2013,1,5,1,0,2.0,
3,5,2013,1,6,1,0,2.0,
3,5,2013,1,7,1,0,2.0,
3,5,2013,1,8,1,0,2.0,
3,5,2013,1,9,1,0,2.0,
3,5,2013,1,10,1,0,2.0,
3,5,2013,1,11,1,0,2.0,
3,5,2013,1,12,1,0,2.0,
3,5,2013,1,13,1,0,2.0,
3,5,2013,1,14,1,0,2.0,
3,5,2013,1,16,1,0,2.0,
3,5,2013,1,17,1,0,2.0,
3,5,2013,1,18,1,0,2.0,
3,5,2013,1,19,1,0,2.0,
3,5,2013,1,20,1,0,2.0,
3,5,2013,1,21,1,0,2.0,
3,5,2013,1,22,1,0,2.0,
3,5,2013,1,23,1,0,2.0,
3,5,2013,1,24,1,0,2.0,
3,5,2013,1,25,1,0,2.0,
3,5,2013,1,26,1,0,2.0,
3,5,2013,1,27,1,0,2.0,
3,5,2013,1,28,1,0,2.0,
3,5,2013,1,29,1,0,2.0,
3,5,2013,1,30,1,0,2.0,
3,5,2013,1,31,1,0,2.0,
3,5,2013,1,32,1,0,2.0,
3,5,2013,1,33,1,0,2.0,
3,5,2013,1,34,1,0,2.0,
3,5,2013,1,35,1,0,2.0,
3,5,2013,1,36,1,0,2.0,
3,5,2013,1,37,1,0,2.0,
3,5,2013,1,38,1,0,2.0,
3,5,2013,1,40,1,0,2.0,
3,5,2013,1,41,1,0,2.0,
3,5,2013,1,42,1,0,2.0,
3,5,2013,1,44,1,0,2.0,
3,5,2013,1,45,1,0,2.0,
3,5,2013,1,46,1,0,2.0,
3,5,2013,1,47,1,0,2.0,
3,5,2013,1,48,1,0,2.0,
3,5,2013,1,49,1,0,2.0,
3,5,2013,1,51,1,0,2.0,
3,5,2013,1,52,1,0,2.0,
3,5,2013,1,54,1,0,2.0,
3,5,2013,1,55,1,0,2.0,
3,5,2013,1,56,1,0,2.0,
3,5,2013,1,58,1,0,2.0,
3,5,2013,1,59,1,0,2.0,
3,5,2013,1,60,1,0,2.0,
3,5,2013,1,67,1,0,2.0,
3,5,2013,1,71,1,0,2.0,
3,5,2013,1,72,1,0,2.0,
3,5,2013,1,74,1,0,2.0,
3,5,2013,1,77,1,0,2.0,
3,5,2013,1,78,1,0,2.0,
3,5,2013,1,79,1,0,2.0,
3,5,2013,1,80,1,0,2.0,
3,5,2013,1,81,1,0,2.0,
3,5,2013,1,82,1,0,2.0,
3,5,2013,1,83,1,0,2.0,
3,5,2013,1,85,1,0,2.0,
3,5,2013,1,87,1,0,2.0,
3,5,2013,1,90,1,0,2.0,
3,5,2013,1,91,1,0,2.0,
3,5,2013,1,92,1,0,2.0,
3,5,2013,1,93,1,0,2.0,
3,5,2013,1,94,1,0,2.0,
3,5,2013,1,95,1,0,2.0,
3,5,2013,1,96,1,0,2.0,
3,5,2013,1,97,1,0,2.0,
3,5,2013,1,98,1,0,2.0,
3,5,2013,1,99,1,0,2.0,
3,5,2013,2,1,1,0,21.98,
3,5,2013,2,2,1,0,21.98,
3,5,2013,2,3,1,0,21.98,
3,5,2013,2,4,1,0,21.98,
3,5,2013,2,5,1,0,21.98,
3,5,2013,2,6,1,0,21.98,
3,5,2013,2,7,1,0,21.98,
