Day,Month,Year,Store,Dept,Type,IsHoliday,Weekly_Sales,Size
5,2,2010,6,47,1,0,,202505
5,2,2010,9,49,2,0,,125833
5,2,2010,11,19,1,0,,207499
5,2,2010,15,80,2,0,,123737
5,2,2010,20,19,1,0,,203742
5,2,2010,26,54,1,0,,152513
5,2,2010,28,45,1,0,,206302
5,2,2010,30,32,3,0,,42988
5,2,2010,30,99,3,0,,42988
5,2,2010,31,78,1,0,,203750
5,2,2010,31,99,1,0,,203750
5,2,2010,45,80,2,0,,118221
12,2,2010,6,36,1,1,,202505
12,2,2010,14,43,1,1,,200898
12,2,2010,15,80,2,1,,123737
12,2,2010,17,78,2,1,,93188
12,2,2010,25,47,2,1,,128107
12,2,2010,31,99,1,1,,203750
12,2,2010,35,80,2,1,,103681
12,2,2010,42,44,3,1,,39690
12,2,2010,45,80,2,1,,118221
19,2,2010,1,47,1,0,,151315
19,2,2010,2,39,1,0,,202307
19,2,2010,10,47,2,0,,126512
19,2,2010,12,78,2,0,,112238
19,2,2010,17,47,2,0,,93188
19,2,2010,19,19,1,0,,203819
19,2,2010,19,99,1,0,,203819
19,2,2010,33,11,1,0,,39690
19,2,2010,34,45,1,0,,158114
19,2,2010,45,80,2,0,,118221
26,2,2010,6,78,1,0,,202505
26,2,2010,10,94,2,0,,126512
26,2,2010,15,47,2,0,,123737
26,2,2010,21,98,2,0,,140167
26,2,2010,23,94,2,0,,114533
26,2,2010,27,47,1,0,,204184
26,2,2010,29,94,2,0,,93638
26,2,2010,30,44,3,0,,42988
26,2,2010,33,25,1,0,,39690
26,2,2010,35,80,2,0,,103681
26,2,2010,40,49,1,0,,155083
26,2,2010,41,19,1,0,,196321
26,2,2010,45,47,2,0,,118221
5,3,2010,2,39,1,0,,202307
5,3,2010,5,19,2,0,,34875
5,3,2010,6,78,1,0,,202505
5,3,2010,10,47,2,0,,126512
5,3,2010,14,47,1,0,,200898
5,3,2010,20,99,1,0,,203742
5,3,2010,21,47,2,0,,140167
5,3,2010,21,94,2,0,,140167
5,3,2010,22,49,2,0,,119557
5,3,2010,39,99,1,0,,184109
5,3,2010,41,47,1,0,,196321
5,3,2010,44,99,3,0,,39910
12,3,2010,1,47,1,0,,151315
12,3,2010,2,48,1,0,,202307
12,3,2010,10,78,2,0,,126512
12,3,2010,11,19,1,0,,207499
12,3,2010,12,47,2,0,,112238
12,3,2010,15,47,2,0,,123737
12,3,2010,20,47,1,0,,203742
12,3,2010,26,54,1,0,,152513
12,3,2010,29,78,2,0,,93638
12,3,2010,44,44,3,0,,39910
19,3,2010,2,39,1,0,,202307
19,3,2010,2,60,1,0,,202307
19,3,2010,6,78,1,0,,202505
19,3,2010,9,47,2,0,,125833
19,3,2010,11,45,1,0,,207499
19,3,2010,17,47,2,0,,93188
19,3,2010,18,98,2,0,,120653
19,3,2010,22,78,2,0,,119557
19,3,2010,23,94,2,0,,114533
19,3,2010,24,47,1,0,,203819
19,3,2010,28,47,1,0,,206302
19,3,2010,35,47,2,0,,103681
19,3,2010,41,54,1,0,,196321
26,3,2010,11,19,1,0,,207499
26,3,2010,12,47,2,0,,112238
26,3,2010,12,49,2,0,,112238
26,3,2010,15,54,2,0,,123737
26,3,2010,19,51,1,0,,203819
26,3,2010,22,49,2,0,,119557
26,3,2010,22,94,2,0,,119557
26,3,2010,31,45,1,0,,203750
26,3,2010,39,99,1,0,,184109
2,4,2010,1,51,1,0,,151315
2,4,2010,15,94,2,0,,123737
2,4,2010,17,41,2,0,,93188
2,4,2010,17,49,2,0,,93188
2,4,2010,19,19,1,0,,203819
2,4,2010,27,47,1,0,,204184
2,4,2010,35,47,2,0,,103681
2,4,2010,37,44,3,0,,39910
2,4,2010,40,47,1,0,,155083
2,4,2010,44,55,3,0,,39910
9,4,2010,2,45,1,0,,202307
9,4,2010,13,51,1,0,,219622
9,4,2010,15,98,2,0,,123737
9,4,2010,16,98,2,0,,57197
9,4,2010,22,49,2,0,,119557
9,4,2010,25,80,2,0,,128107
9,4,2010,27,99,1,0,,204184
9,4,2010,39,45,1,0,,184109
16,4,2010,11,99,1,0,,207499
16,4,2010,12,49,2,0,,112238
16,4,2010,12,51,2,0,,112238
16,4,2010,14,45,1,0,,200898
16,4,2010,22,19,2,0,,119557
16,4,2010,26,60,1,0,,152513
16,4,2010,35,94,2,0,,103681
16,4,2010,38,18,3,0,,39690
16,4,2010,45,80,2,0,,118221
23,4,2010,3,18,2,0,,37392
23,4,2010,17,94,2,0,,93188
23,4,2010,18,78,2,0,,120653
23,4,2010,22,19,2,0,,119557
23,4,2010,22,94,2,0,,119557
23,4,2010,25,94,2,0,,128107
23,4,2010,29,98,2,0,,93638
23,4,2010,31,18,1,0,,203750
23,4,2010,32,18,1,0,,203007
23,4,2010,32,78,1,0,,203007
23,4,2010,34,19,1,0,,158114
23,4,2010,35,49,2,0,,103681
23,4,2010,39,99,1,0,,184109
23,4,2010,43,44,3,0,,41062
30,4,2010,3,18,2,0,,37392
30,4,2010,5,94,2,0,,34875
30,4,2010,6,47,1,0,,202505
30,4,2010,9,18,2,0,,125833
30,4,2010,12,47,2,0,,112238
30,4,2010,13,18,1,0,,219622
30,4,2010,16,18,2,0,,57197
30,4,2010,16,45,2,0,,57197
30,4,2010,18,18,2,0,,120653
30,4,2010,18,94,2,0,,120653
30,4,2010,20,18,1,0,,203742
30,4,2010,24,45,1,0,,203819
30,4,2010,24,47,1,0,,203819
30,4,2010,27,18,1,0,,204184
30,4,2010,31,18,1,0,,203750
30,4,2010,32,18,1,0,,203007
30,4,2010,35,18,2,0,,103681
30,4,2010,37,18,3,0,,39910
30,4,2010,42,18,3,0,,39690
7,5,2010,2,45,1,0,,202307
7,5,2010,5,47,2,0,,34875
7,5,2010,6,18,1,0,,202505
7,5,2010,6,60,1,0,,202505
7,5,2010,9,18,2,0,,125833
7,5,2010,10,18,2,0,,126512
7,5,2010,11,18,1,0,,207499
7,5,2010,13,18,1,0,,219622
7,5,2010,14,18,1,0,,200898
7,5,2010,18,18,2,0,,120653
7,5,2010,20,18,1,0,,203742
7,5,2010,20,47,1,0,,203742
7,5,2010,22,18,2,0,,119557
7,5,2010,25,18,2,0,,128107
7,5,2010,27,18,1,0,,204184
7,5,2010,31,18,1,0,,203750
7,5,2010,32,18,1,0,,203007
7,5,2010,35,49,2,0,,103681
7,5,2010,41,18,1,0,,196321
7,5,2010,41,19,1,0,,196321
7,5,2010,42,31,3,0,,39690
7,5,2010,42,56,3,0,,39690
14,5,2010,1,18,1,0,,151315
14,5,2010,3,18,2,0,,37392
14,5,2010,4,18,1,0,,205863
14,5,2010,8,18,1,0,,155078
14,5,2010,14,18,1,0,,200898
14,5,2010,19,18,1,0,,203819
14,5,2010,21,18,2,0,,140167
14,5,2010,24,18,1,0,,203819
14,5,2010,25,80,2,0,,128107
14,5,2010,26,18,1,0,,152513
14,5,2010,27,18,1,0,,204184
14,5,2010,28,18,1,0,,206302
14,5,2010,32,45,1,0,,203007
14,5,2010,35,18,2,0,,103681
14,5,2010,35,47,2,0,,103681
14,5,2010,36,18,1,0,,39910
14,5,2010,39,19,1,0,,184109
14,5,2010,40,18,1,0,,155083
21,5,2010,4,18,1,0,,205863
21,5,2010,6,18,1,0,,202505
